id	userId	title	text
142052843	17539655	Re : Did anyone else almost cry ?	I never cry at films . There are many films that take me to the verge of tears , but there's a barrier between that and crying that i never usually get over . Yet I just watched AI , and the tears are still wet on my face . I never expected that Spielberg of all people would be able to do this to me .
142016310	17539655	Re : Dont see this film if you want a comedy	Why do people think films have to fit into just one genre ? ? There were so many funny moments in this film ! ! But there was also drama and at the end i was almost crying , it was so sweet . It had more than one dimension to it , which is what made it so good .
137632559	17539655	Re : No appeal to 15-25 year olds .	I'm 18 and I loved it . Maybe some of the 80s stuff was lost on me , but I thought it was hilarious and touching from start to finish . And I thought the cool special effects stuff that the kids came up with were much more exciting than hollywood ones !
138807061	17539655	Re : Very Poor Ending	Yep , I have to agree To be honest , I often like films where there is no need for there to be a driving plot . And the majority of this this film seemed to just be about love and discovery . And I liked that , maybe just because I'm a teenager ? But at the end it seemed like the writer panicked and thought something big needed to happen for the audience to leave feeling the film was significant . The ending didn't fit at all with the rest of the film , and I want to forget that it happened really . As someone said in their review , someone should edit the film and remove the ending .
140395804	17539655	Re : Did anyone cry at the end ?	I watched it again , just now And I still have tears in my eyes I saw it a few years ago , and I don't remember the ending being so strong
23387056	6517255	Re : Ok , I've wrote to ABC . .	Where did it go ? ? It was really good . . . I had my TIVO set to record every episode !
130211053	6517255	Re : saw him today !	So when did you graduate ? I graduated in 1987 from BHS . His family and mine have always been friends . . . his grandfather attended my mother's funeral . Danny and his family are all very nice people and while I haven't had the pleasure of meeting his family since I am no longer in Bfd , my parents say they are beautiful . Danny , if you're reading this , take care , my friend ! We enjoy watching a " friend " on GL . Sandi Pan . . .
154417856	539755	The money in the bathtub ?	What was the significance of Salim's act of filling the bathtub with money at the end before he was killed ? It looked like LOTS of Rupees , couldn't he have given it to Latika as she fled ? I guess he knew he was going to die and wanted his own blood spilled on it since it was his blood money he earned from the crime boss ?
149492567	539755	Re : Help me out here please	The Fury ? http www imdb com title tt0077588
149019321	539755	Re : Love his name !	In the US the name " Brawley " is almost as popular as " Punchey " and " Fightey " . Also popular is " Feudey " and " Altercationey " .
12865763	539755	Re : Am I the only one who 1 . loved this move 2 . knows about it	I agree with tremorx22 , J . T . Walsh gives a creepy cold-blooded performance , and the plot gives a growing suffocating feeling as you wonder what Kurt Russel's next moves could possibly be . Check it out if you can , Mostow also did a decent job on Terminator 3 .
122434804	539755	Lindsay Lohan	Lindsay Lohan looks directly into the camera THREE TIMES in her first scene . In other scenes she looks like she's struggling to not look into the lens . Why wasn't she nominated for a fifth Razzie for this performance ?
35295743	337755	Finally ! A Ford film that sounds promising !	Ever since ' The Fugitive , ' it seems like people have just sort of danced around Harrison Ford's subsequent films politely . ' Sabrina ' was sweet , ' Air Force One ' was harmless summer action , ' Six Days , Seven Nights ' was fun , ' What Lies Beneath ' was kinda scary and he got to play a bad guy , ' K-19 ' was well-intentioned , ' Hollywood Homicide ' let him have a good time , ' Firewall ' is the kind of dramatic , tortured film Ford is good at . . . It's all just dancing around how the man has not made a daring or just-plain critically applauded film in a long time and could do with a serious , elevated film that is more than just a popcorn flick . If there's anyone whose films I want to be able to get behind completely , it's Harrison Ford , but he makes some bizarre choices sometimes , bizarre because on the surface he seems so very picky . ' Manhunt ' sounds to me like it could be a real winner .
59942907	337755	Re : Should air on network TV again !	Oh , definitely , that was great - CBS had been doing it so long , the Garfield special had become a holiday tradition in its own right and was in the top 30 every time . Instead of tacking on mediocre new Peanuts cartoons to the timeless originals ABC should get the rights to at least the three Halloween , Thanksgiving and Christmas specials . As far as I'm concerned , the Garfield Christmas special should still be part of people's childhoods just as much as Charlie Brown , Rudolph , the Grinch and Frosty have been .
62470126	337755	Re : I looked this guy's name up on Google Image Search . . . .	You might be able to find one perusing the head writer for ' Garfield and Friends ' website : http povonline com Garfield htm Even if you can't find one , it's a great site . There are definitely pictures of Thom in the Garfield 25th Anniversary book ( " In Dog Years I'd Be Dead " or something to that effect is the title ) . It's too bad he hasn't done more work as an actor . He's a really gifted voice artist .
7489251	337755	Re : Why no DVD release ?	None of David E . Kelley's shows has had a full DVD release . I for one would be very interested in purchasing several seasons of ' Picket Fences , ' ' The Practice , ' ' Ally McBeal ' and ' Chicago Hope , ' all of them multiple Emmy winners , all of them nominees or winners of best series Emmys .
16945118	337755	Re : UK Club Med ad	What a good site ! The adverts in the UK are wonderful ( I actually stayed for a time with a Spanish family in Oxford , and the mother would always flip from commercial break to commercial break just to see the ads - to hell with ' The West Wing . ' ; ) But when their message board is up and running again for new people , one of us should make a post with a direct link ( http www houseof tucker . com / common / im ages / ClubMedCT . wmv - that intro page is a little . . . intimidating ) . That's definitely the forum to ask at . I'll check periodically to see if it's accepting new users .
149954587	337755	Re : NatGeo and The Way Back	Didn't National Geographic fund a lot of " K-19 ? " Underrated movie , but a huge flop .
63886181	337755	Why was Marlow recast ?	Was the original actor busy ? Tim Woodward did a good job , but was more overtly sinister-looking than Tom Bowe , whose interpretation of the incarcerated Marlow I would have loved to see .
70978979	337755	Re : I feel kinda sorry for this guy	In regards to " Doctor Who , " it's not impossible for the BBC to someday do a one-off TV special depicting an 8th Doctor adventure , perhaps his final one involving the TIme War . When one considers they've done two Christmas specials , two spinoffs , two documentary series and still maintained 8 million viewers for the third season premiere . . . surely the novelty of such a marketable idea has dawned on them .
11684382	337755	Re : 6 degrees of Meg Ryan	Chow Yun-fat was in ' Anna and the King ' with Jodie Foster . Jodie Foster was in ' The Silence of the Lambs ' with Anthony Heald . Anthony Heald was in ' Proof of Life ' with Meg Ryan . ( or Anthony Hopkins is in ' Papa ' next year ) Next : Joel Grey
126459987	337755	Re : Offered ' Bergerac '	No idea , but he certainly was one for putting a bold stamp on things whenever possible . Apparently he regretted not taking the show over a little , but I don't know more than that .
97239972	337755	Re : Why Do Bette Davis fans Hate Celeste ?	Bette Davis fans probably just like stoking the fire - the idea of two steely divas facing off against each other lends itself to picking sides and sitting down with popcorn until the fight is over .
68554209	337755	Re : Best story off the 9 ?	" The Soldier and Death " for me as well . I love every puppet in that episode . It's so unexpected and wonderful to have this series out on DVD . Makes me hold out hope for PBS ' " Long Ago & Far Away " with its many puppets and Hungarian folktales to find its way onto shelves too .
10989671	337755	Re : Stephen Fry on Parkinson .	He's worked with a lot of American actresses . Most people who've worked with Meg Ryan have nothing but positive things to say about her .
69783598	337755	Re : 30 Rock ?	He's good on it too ! His character's really . . . nice !
73847064	337755	Re : the Michael jackson poster	It's hilarious , although at the time it was shot , the joke was merely meant to play off of Michael Jackson's weirdness and the cloy nature of " Heal the World . " Obviously it's taken on another angle over the last decade .
22053688	337755	Re : It - is - interesting . . .	I completely agree about Bill Nighy being a great choice . They should not be echewing older actors - Tennant will be fine , but he looks like a 12 year old pixie boy . Such a shame that Eccleston didn't stay longer - the BBC really shot themselves in the foot with that development ( what to do with all those 9th Doctor toys at Xmas ? ) Another person who would have been great : Hugh Laurie . Until ' House , ' I couldn't see him playing someone who was smart , irascible and glib , but sure enough , now I can see him making a great Doctor .
166255821	337755	Re : Bad Acting ?	Even Russell T Davies has said the Martha unrequited love arc wasn't a great idea . I think it was just too overtly written to make it workable for any actor . Too much pining out loud , it's not very natural , and you need more grounded human behavior to balance out the fantasy on Doctor Who and to really sell the companions these days . But I still say she knocked a lot out of thr park , particularly the Human Nature two parter , and her character as originally conceived was very strong . Looking forward to more from Freema .
141790820	337755	Re : Michael Jackson leak	It's difficult to accept the idea that a child could ever lie or that anyone could sully the reputation of an already scrutinized celebrity in order to engage in blackmail ( and think he or she could get away with it ) , but Michael Jackson was always quick to try to stamp out any controversies he was embroiled in , unwittingly or not , and that was common knowledge as far back as 1993 when these allegations occurred . The criminal trial certainly painted a picture of a family with a history of false accusation using a child as the unimpeachable offended party . Jackson was an easy target , and it's not unfair to say his behavior was at best questionable , but I defy anyone to be able to distinguish his clueless eccentricities from his cunning stratagems or his childlike naivete from his willful ignorance . The man's childhood was uniquely its own , and the damage it wrought on him was manifested in ways that went from brilliant nerve as a performer to a tragic misalignment of his own perception . I can't begin to decide how to define him , how to determine if he was an innocent manchild offstage who was easily taken advantage of , or if he was a warped darker seed who did not practice what he preached . I think we'd all prefer to have an answer in black or white , but as always , Jackson frustrated us by seeming to be both and neither , and that may always be the case . No one can ever declare Jackson's innocence with any certainty , but that's the very crux of a good accusation - the accused gets to spend the rest of his time in full damage control and the accuser benefits from justice at best and a blood reward at worst .
159996937	337755	Re : I miss her old looks . . .	Correct me if I'm wrong , but I remember Dana Delany once being able to fully open her mouth when she said her lines . There's something off about how she seems to struggle to do so now .
